name	material	template	render	layout	textures	connections	item	item_render
acacia_planks_beams_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_beams	all	solo	
acacia_planks_brick_pattern_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_brick_pattern	all	solo	
acacia_planks_brick_paving_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_brick_paving	all	solo	
acacia_planks_bricks_ctm	acacia_planks	ctm_cube_all_horizontal		pieces_horizontal	all=ott:block/acacia_planks/ctm/acacia_planks_bricks	all	self	
acacia_planks_crate_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_crate	all	solo	
acacia_planks_diagonal_stripes_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_diagonal_stripes	all	solo	
acacia_planks_diagonal_tiles_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_diagonal_tiles	all	solo	
acacia_planks_dotted_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_dotted	all	solo	
acacia_planks_flooring_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_flooring	all	solo	
acacia_planks_large_tiles_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_large_tiles	all	solo	
acacia_planks_panel_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_panel	all	solo	
acacia_planks_pattern_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_pattern	all	solo	
acacia_planks_rotated_bricks_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_rotated_bricks	all	solo	
acacia_planks_small_bricks_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_small_bricks	all	solo	
acacia_planks_small_tiles_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_small_tiles	all	solo	
acacia_planks_squares_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_squares	all	solo	
acacia_planks_tiles_ctm	acacia_planks	ctm_cube_all_pieces		pieces_full	all=ott:block/acacia_planks/ctm/acacia_planks_tiles	all	solo	
